연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터)
159,사립,아이원반딧불 작은도서관,경기도 화성시 만세구 향남읍 행정동로 64 (향남시범살구꽃마을풍림아이원아파트),향남읍,매핑완료,,200
160,사립,아이파크 마중물 작은도서관,"경기도 화성시 동탄구 동탄대로 4길 143, 동탄2 아이파크 아파트 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,320
161,사립,아하 작은도서관,"경기도 화성시 동탄구 동탄기흥로257번가길 20-16, 1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,39
162,사립,알바트로스 작은도서관,"경기도 화성시 동탄구 동탄순환대로21길 53,롯데캐슬알바트로스",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,113.4837
163,사립,어울림 작은도서관 ,경기도 화성시 동탄구 동탄대로4길 17,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,172.15
164,사립,언덕마을18단지 작은도서관,"경기도 화성시 만세구 향남읍 상신하길로35, 언덕마을18단지아파트",향남읍,매핑완료,,112.51
165,사립,에듀북파크 작은도서관,경기도 화성시 효행구 봉담읍 수영로 161(중흥S-클래스 에듀파크 아파트),봉담읍,매핑완료,,172.7971
166,사립,엘크루생크림 작은도서관,"경기도 화성시 동탄구 동탄대로1길 96, 엔에이치에프엘크루 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,82
167,사립,열리는비전 작은도서관,경기도 화성시 효행구 봉담읍 샘마을길 33 열리는교회 2층,봉담읍,매핑완료,,89
168,사립,영천 작은도서관,"경기도 화성시 동탄구 동탄대로24가길 27, 동탄2 LH1단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,92.77
169,사립,예찬작은도서관,경기도 화성시 만세구 남양읍 남양성지로 8-6 우림아파트 A상가 2층 예수찬양교회(남양),남양읍,매핑완료,,44.29
170,사립,예향드림 작은도서관,경기도 화성시 만세구 향남읍 서봉로 117 예수향남교회,향남읍,매핑완료,,42.9
171,사립,오색마을 작은도서관,경기도 화성시 만세구 향남읍 하길로 9(화성향남오색마을사랑으로부영11단지 아파트),향남읍,매핑완료,,180
172,사립,우리 작은도서관,"경기도 화성시 동탄구 동탄순환대로 1길 64, 동탄레이크 자이 더 테라스",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,92
173,사립,우리꿈 작은도서관,"경기도 화성시 병점구 효행로 1344-6, 우리꿈교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,97.47
174,사립,우림필유타운하우스 작은도서관,경기도 화성시 동탄구 동탄공원로 1길 6-60 우림필유타운하우스,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,98
175,사립,은성 작은도서관,경기도 화성시 효행구 효행로291번길 52(효행구 기안동) 은성교회,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,123
176,사립,이편한 꿈터 작은도서관,경기도 화성시 효행구 봉담읍 상리1길 127,봉담읍,매핑완료,,106.6
177,사립,이편한세상 작은도서관,"경기도 화성시 병점구 효행로 1337-23, 이편한세상 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,57.6
178,사립,자이꿈 작은도서관,"경기도 화성시 동탄구 서동탄로53, 서동탄역 파크자이",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,142.5
179,사립,자이라피네 작은도서관,경기도 화성시 효행구 봉담읍 동화서북안길 50,봉담읍,매핑완료,,151.29
180,사립,작은도서관 노작,"경기도 화성시 동탄구 노작로206, 노작 홍사용문학관 내",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,81.55
181,사립,전승병영 작은도서관,경기도 화성시 효행구 매송면 화성로 2437 14-2호(51사단)비봉면 푸른들판로 1350-109(대대),비봉면,매핑완료,,36
182,사립,제부도모세마을작은도서관,경기도 화성시 만세구 서신면 제부말길 96(만세구 서신면) 제부도문화복지센터,서신면,매핑완료,,91
183,사립,죠이풀 작은도서관,"경기도 화성시 동탄구 동탄순환대로 29길 62, 301호 (동탄구 영천동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,85.2
184,사립,참누리 크로바 작은도서관,"경기도 화성시 동탄구 동탄지성로 295, 행복마을 참누리 에듀파크 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,263.216
185,사립,채움 작은도서관,"경기도 화성시 만세구 남양읍 남양시장로105번길 7, 1층",남양읍,매핑완료,,78.86
186,사립,책과 콩나무 작은도서관,"경기도 화성시 동탄구 동탄공원로1길 6-57, 동탄시범다은마을 센트럴파크뷰 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,120
187,사립,책누리 작은도서관,"경기도 화성시 동탄구 동탄지성로469번길 60, 반정아이파크캐슬5단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,116
188,사립,책마루 작은도서관,"경기도 화성시 동탄구 동탄순환대로 24길 101, LH 4단지 아파트 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,98.175
189,사립,커피향 작은도서관,"경기도 화성시 효행구 봉담읍 매봉로 443, 예스프라자25 503호",봉담읍,매핑완료,,48.8
190,사립,큰생각 작은도서관,"경기도 화성시 동탄구 동탄대로시범길276(동탄구 청계동,우남퍼스트빌a)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,230.69
191,사립,평화마을 작은도서관,경기도 화성시 만세구 우정읍 매향웃말길27,우정읍,매핑완료,,75.33
192,사립,포도나무 작은도서관,"경기도 화성시 병점구 효행로 275-1  평생플러스빌아파트 상가동 지상1층, 지하1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,239
193,사립,포레나 동탄호수 작은도서관,"경기도 화성시 동탄구 동탄순환대로4길 11, 한화 포레나 동탄호수 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,127.78
194,사립,포스코 반올림 작은도서관,경기도 화성시 동탄구 동탄공원로 21-12 포스코아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,101.368
195,사립,푸르미 작은도서관,"경기도 화성시 효행구 봉담읍 와우로 34번길 12, 봉담센트럴푸르지오",봉담읍,매핑완료,,113.4
196,사립,푸른 신일 작은도서관,"경기도 화성시 동탄구 동탄공원로 21-39, 동탄푸른마을신일해피트리 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,62
197,사립,푸른 작은도서관,"경기도 화성시 동탄구 동탄순환대로21길 54(동탄구 청계동, 동탄2신도시 센트럴 푸르지오)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,72
198,사립,푸른꿈 작은도서관,경기도 화성시 동탄구 동탄반석로 264 예당마을 푸르지오 아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,162
199,사립,푸른책나라 작은도서관,"경기도 화성시 동탄구 동탄공원로 21-40(동탄구 능동, 동탄푸른마을두산위브아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,70
200,사립,풍경채 작은도서관,경기도 화성시 동탄구 동탄대로4가길 26(제일풍경채 에듀파크 아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,105
201,사립,하늘 작은도서관,"경기도 화성시 만세구 향남읍 행정서로 48, 관리동 2층(향남시범넓은들마을신명스카이뷰 아파트)",향남읍,매핑완료,,39
202,사립,하늘꿈 작은도서관,"경기도 화성시 만세구 남양읍 역골중앙로100번길 23, 102호",남양읍,매핑완료,,70
203,사립,하늘바다 작은도서관,"경기도 화성시 만세구 남양읍 시청로45번길 96, 관리동 2층(화성남양뉴타운LH4단지 아파트)",남양읍,매핑완료,,61.595
204,사립,하늘빛 작은도서관,"경기도 화성시 동탄구 동탄반석로 277, 동탄 예당마을우미린제일풍경채 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,126
205,사립,하브루타 작은도서관,"경기도 화성시 병점구 병점동로42번길 24, 202호",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,53.9
206,사립,하우스디 작은도서관,"경기도 화성시 동탄구 동탄대로9길 19, 하우스디 더 레이크 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,164.1
207,사립,한신더휴 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 70, 한신더휴 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,125.3
208,사립,한화꿈에그린 작은도서관,"경기도 화성시 동탄구 동탄시범한빛길 10, 시범한빛마을한화꿈에그린아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,115
209,사립,한화우림 작은도서관,"경기도 화성시 동탄구 동탄반석로 42, 관리동 내(동탄나루마을 한화꿈에그린 우림필유 아파트)  ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,123
210,사립,해달별 역사 작은도서관,"경기도 화성시 효행구 봉담읍 와우로34번길 34, 쌍용스윗닷홈 상가동 301호",봉담읍,매핑완료,,172.45
211,사립,해뜰문고 작은도서관,"경기도 화성시 병점구 영통로27번길 53, 신영통 현대타운 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,72
212,사립,해피드림 작은도서관,"경기도 화성시 동탄구 동탄반석로 124, 센타프라자 602호",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,39.38
213,사립,햇살마루 작은도서관,"경기도 화성시 병점구 효행로 229-11, 광도와이드빌 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,120
214,사립,햇살바람 작은도서관,"경기도 화성시 동탄구 동탄대로12길 64, 금강펜테리움센트럴파크1차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,51.7102
215,사립,행복 작은도서관,"경기도 화성시 만세구 남양읍 남양로862번길 16, 남양뉴타운LH6단지 아파트",남양읍,매핑완료,,81
216,사립,행복공원 작은도서관,"경기도 화성시 동탄구 동탄지성로 320, 신풍프라자 4층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,67
217,사립,행복담은 작은도서관,"경기도 화성시 동탄구 동탄지성로 17, 20층(동탄위버폴리스 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,266
218,사립,행복한 작은도서관,"경기도 화성시 병점구 병점3로 74, 관리동 1층(느치미마을주공2단지 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,56.6
219,사립,향남 한우물 작은도서관,"경기도 화성시 만세구 향남읍 행정남로 99-15, 향남시범 한우물마을휴먼시아 아파트",향남읍,매핑완료,,110.7
220,사립,향아름 작은도서관,"경기도 화성시 만세구 향남읍 행정남로 99-15, 향남시범 한우물마을휴먼시아 아파트",향남읍,매핑완료,,81.33
221,사립,향아름 작은도서관,"경기도 화성시 동탄구 동탄오산로 86-10, 동탄리코빌 1동 207호 (동탄구 오산동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,63.84
222,사립,호반써밋동탄 작은도서관,경기도 화성시 동탄구 동탄신리천로4길 48,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,251.39
223,사립,호수나래 작은도서관,"경기도 화성시 동탄구 동탄대로6길 50, 더레이크시티부영5단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,173.25
224,사립,호수나무 작은도서관,"경기도 화성시 동탄구 동탄대로8길 65, 1층(더레이크시티부영2단지 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,125.55
225,사립,호수품 작은도서관,"경기도 화성시 동탄구 동탄대로6길 84, 더레이크시티부영6단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,187
226,사립,화성 행복한 영어 작은도서관,"경기도 화성시 병점구 반정로204번길 53, 베들레헴 교회 교육관 2층(병점구 반정동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,146.85
227,사립,화성동부청소년 작은도서관,경기도 화성시 병점구 영통로8번길 10-12 향유내음가득교회,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,175
228,사립,휴먼동화1 작은도서관,"경기도 화성시 효행구 봉담읍 동화길 81-13, 휴먼시아동화마을 아파트",봉담읍,매핑완료,,48.75
229,사립,휴먼빌 꿈꾸는 작은도서관,"경기도 화성시 효행구 봉담읍 와우로 51, 봉담휴먼빌 아파트",봉담읍,매핑완료,,74.82
230,사립,희망여기 작은도서관,"경기도 화성시 효행구 봉담읍 오궁길 8, 수기평안교회 1층",봉담읍,매핑완료,,77
